cod_infracao;des_infracao;des_abreviada;enquadramento;valor;qtd_pontos;tip_medicao;responsavel;fracao;valor_adicional;dat_fimvigencia;dat_iniciovigencia;fk_id_observacao_infracao
"55413";"Estacionar em desacordo com a regulamentação ? ponto ou vaga de táxi                                                                                                                                                                                                                                                                                                                                            ";"Estacionar em desacordo com a regulamentação ? ponto ou vaga de táxi";"181 XVII";53.20;3;(null);"C";0.00;0.00;(null);(null);(null)
"55414";"Estacionar em desacordo com a regulamentação ? área de carga  e descarga                                                                                                                                                                                                                                                                                                                                        ";"Estacionar em desacordo com a regulamentação ? área de carga  e descarga";"181 XVII";53.20;3;(null);"C";0.00;0.00;(null);(null);(null)
"55415";"Estacionar em desacordo com a regulamentação ? vaga para portadores de necessidades especiais                                                                                                                                                                                                                                                                                                                   ";"Estacionar em desacordo com a regulamentação ? vaga para portadores de necessida";"181 XVII";53.20;3;(null);"C";0.00;0.00;(null);(null);(null)
"55500";"Estacionar veículo em locais e horários proibidos especificamente pela sinalização                                                                                                                                                                                                                                                                                                                              ";"Estacionar veículo em locais e horários proibidos especificamente pela sinalizaç";"181 XVIII";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"55760";"Parar o veículo nas esquinas a menos de cinco metros do bordo do alinhamento da via                                                                                                                                                                                                                                                                                                                             ";"Parar o veículo nas esquinas a menos de cinco metros do bordo do alinhamento da ";"182 I";85.13;4;"";"C";(null);(null);(null);(null);(null)
"55840";"Parar o veículo afastado da guia da calçada (meio-fio) de cinqüenta centímetros a um metro                                                                                                                                                                                                                                                                                                                      ";"Parar o veículo afastado da guia da calçada (meio-fio) de cinquenta centímetros";"182 II";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"55920";"Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro                                                                                                                                                                                                                                                                                                                                       ";"Parar o veículo afastado da guia da calçada (meio-fio) a mais de um metro";"182 III";85.13;4;(null);"C";(null);(null);(null);(null);(null)
"56060";"Parar o veículo em desacordo com as posições estabelecidas no CTB                                                                                                                                                                                                                                                                                                                                               ";"Parar o veículo em desacordo com as posições estabelecidas no CTB";"182 IV";53.20;3;(null);"C";(null);(null);(null);(null);(null)
"56140";"Parar o veículo na pista de rolamento das estradas, das rodovias , das vias de trânsito rápido e das demais vias dotadas de acostamento                                                                                                                                                                                                                                                                         ";"Parar o veículo na pista de rolamento das estradas, das rodovias , das vias de t";"182 V";127.69;5;(null);"C";(null);(null);"2008-01-22";(null);(null)
"56141";"Parar o veículo na pista de rolamento das estradas dotadas de acostamento                                                                                                                                                                                                                                                                                                                                       ";"Parar o veículo na pista de rolamento das estradas dotadas de acostamento";"182-V";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"56142";"Parar na pista de rolamento das rodovias                                                                                                                                                                                                                                                                                                                                                                        ";"Parar na pista de rolamento das rodovias";"182-V";127.69;5;(null);"C";(null);(null);(null);(null);(null)
"56143";"Parar  na pista de rolamento das vias de trânsito rápido                                                                                                                                                                                                                                                                                                                                                        ";"Parar  na pista de rolamento das vias de trânsito rápido ";"182-V";127.69;5;(null);"C";(null);(null);(null);(null);(null)
